"country","city","street","housenumber"
"AM","Yerevan","Շահումյան 4-րդ փողոց","18"
"AM","Yerevan","Շահումյան 4-րդ փողոց","19"
"AM","Yerevan","Շահումյան 4-րդ փողոց","19/1"
"AM","Yerevan","Շահումյան 4-րդ փողոց","2"
"AM","Yerevan","Շահումյան 4-րդ փողոց","20"
"AM","Yerevan","Շահումյան 4-րդ փողոց","21"
"AM","Yerevan","Շահումյան 4-րդ փողոց","22"
"AM","Yerevan","Շահումյան 4-րդ փողոց","22a"
"AM","Yerevan","Շահումյան 4-րդ փողոց","23"
"AM","Yerevan","Շահումյան 4-րդ փողոց","24"
"AM","Yerevan","Շահումյան 4-րդ փողոց","25"
"AM","Yerevan","Շահումյան 4-րդ փողոց","26"
"AM","Yerevan","Շահումյան 4-րդ փողոց","27"
"AM","Yerevan","Շահումյան 4-րդ փողոց","27a"
"AM","Yerevan","Շահումյան 4-րդ փողոց","28"
"AM","Yerevan","Շահումյան 4-րդ փողոց","29"
"AM","Yerevan","Շահումյան 4-րդ փողոց","3"
"AM","Yerevan","Շահումյան 4-րդ փողոց","30"
"AM","Yerevan","Շահումյան 4-րդ փողոց","31"
"AM","Yerevan","Շահումյան 4-րդ փողոց","32"
"AM","Yerevan","Շահումյան 4-րդ փողոց","33"
"AM","Yerevan","Շահումյան 4-րդ փողոց","34"
"AM","Yerevan","Շահումյան 4-րդ փողոց","35"
"AM","Yerevan","Շահումյան 4-րդ փողոց","35a"
"AM","Yerevan","Շահումյան 4-րդ փողոց","36"
"AM","Yerevan","Շահումյան 4-րդ փողոց","37"
"AM","Yerevan","Շահումյան 4-րդ փողոց","38"
"AM","Yerevan","Շահումյան 4-րդ փողոց","39"
"AM","Yerevan","Շահումյան 4-րդ փողոց","4"
"AM","Yerevan","Շահումյան 4-րդ փողոց","40"
"AM","Yerevan","Շահումյան 4-րդ փողոց","41"
"AM","Yerevan","Շահումյան 4-րդ փողոց","42"
"AM","Yerevan","Շահումյան 4-րդ փողոց","43"
"AM","Yerevan","Շահումյան 4-րդ փողոց","44"
"AM","Yerevan","Շահումյան 4-րդ փողոց","45"
"AM","Yerevan","Շահումյան 4-րդ փողոց","46"
"AM","Yerevan","Շահումյան 4-րդ փողոց","47"
"AM","Yerevan","Շահումյան 4-րդ փողոց","48"
"AM","Yerevan","Շահումյան 4-րդ փողոց","48a"
"AM","Yerevan","Շահումյան 4-րդ փողոց","49"
"AM","Yerevan","Շահումյան 4-րդ փողոց","5"
"AM","Yerevan","Շահումյան 4-րդ փողոց","50"
"AM","Yerevan","Շահումյան 4-րդ փողոց","51"
"AM","Yerevan","Շահումյան 4-րդ փողոց","52"
"AM","Yerevan","Շահումյան 4-րդ փողոց","53"
"AM","Yerevan","Շահումյան 4-րդ փողոց","54"
"AM","Yerevan","Շահումյան 4-րդ փողոց","55"
"AM","Yerevan","Շահումյան 4-րդ փողոց","56"
"AM","Yerevan","Շահումյան 4-րդ փողոց","57"
"AM","Yerevan","Շահումյան 4-րդ փողոց","58"
"AM","Yerevan","Շահումյան 4-րդ փողոց","59"
"AM","Yerevan","Շահումյան 4-րդ փողոց","6"
"AM","Yerevan","Շահումյան 4-րդ փողոց","60"
"AM","Yerevan","Շահումյան 4-րդ փողոց","61"
"AM","Yerevan","Շահումյան 4-րդ փողոց","62"
"AM","Yerevan","Շահումյան 4-րդ փողոց","63"
"AM","Yerevan","Շահումյան 4-րդ փողոց","64"
"AM","Yerevan","Շահումյան 4-րդ փողոց","66"
"AM","Yerevan","Շահումյան 4-րդ փողոց","67"
"AM","Yerevan","Շահումյան 4-րդ փողոց","68"
"AM","Yerevan","Շահումյան 4-րդ փողոց","69"
"AM","Yerevan","Շահումյան 4-րդ փողոց","7"
"AM","Yerevan","Շահումյան 4-րդ փողոց","70"
"AM","Yerevan","Շահումյան 4-րդ փողոց","71"
"AM","Yerevan","Շահումյան 4-րդ փողոց","72"
"AM","Yerevan","Շահումյան 4-րդ փողոց","73"
"AM","Yerevan","Շահումյան 4-րդ փողոց","74"
"AM","Yerevan","Շահումյան 4-րդ փողոց","75"
"AM","Yerevan","Շահումյան 4-րդ փողոց","8"
"AM","Yerevan","Շահումյան 4-րդ փողոց","9"
"AM","Yerevan","Շահումյան 5-րդ փողոց","1"
"AM","Yerevan","Շահումյան 5-րդ փողոց","10"
"AM","Yerevan","Շահումյան 5-րդ փողոց","11"
"AM","Yerevan","Շահումյան 5-րդ փողոց","12"
"AM","Yerevan","Շահումյան 5-րդ փողոց","13"
"AM","Yerevan","Շահումյան 5-րդ փողոց","14"
"AM","Yerevan","Շահումյան 5-րդ փողոց","15"
"AM","Yerevan","Շահումյան 5-րդ փողոց","16"
"AM","Yerevan","Շահումյան 5-րդ փողոց","17"
"AM","Yerevan","Շահումյան 5-րդ փողոց","18"
"AM","Yerevan","Շահումյան 5-րդ փողոց","19"
"AM","Yerevan","Շահումյան 5-րդ փողոց","2"
"AM","Yerevan","Շահումյան 5-րդ փողոց","20"
"AM","Yerevan","Շահումյան 5-րդ փողոց","21"
"AM","Yerevan","Շահումյան 5-րդ փողոց","22"
"AM","Yerevan","Շահումյան 5-րդ փողոց","23"
"AM","Yerevan","Շահումյան 5-րդ փողոց","24"
"AM","Yerevan","Շահումյան 5-րդ փողոց","24/1"
"AM","Yerevan","Շահումյան 5-րդ փողոց","25"
"AM","Yerevan","Շահումյան 5-րդ փողոց","27"
"AM","Yerevan","Շահումյան 5-րդ փողոց","28"
"AM","Yerevan","Շահումյան 5-րդ փողոց","29"
"AM","Yerevan","Շահումյան 5-րդ փողոց","3"
"AM","Yerevan","Շահումյան 5-րդ փողոց","30"
"AM","Yerevan","Շահումյան 5-րդ փողոց","31"
"AM","Yerevan","Շահումյան 5-րդ փողոց","32"
"AM","Yerevan","Շահումյան 5-րդ փողոց","33"
"AM","Yerevan","Շահումյան 5-րդ փողոց","34"
"AM","Yerevan","Շահումյան 5-րդ փողոց","35"
"AM","Yerevan","Շահումյան 5-րդ փողոց","36"
"AM","Yerevan","Շահումյան 5-րդ փողոց","37"
"AM","Yerevan","Շահումյան 5-րդ փողոց","38"
"AM","Yerevan","Շահումյան 5-րդ փողոց","39"
"AM","Yerevan","Շահումյան 5-րդ փողոց","4"
"AM","Yerevan","Շահումյան 5-րդ փողոց","40"
"AM","Yerevan","Շահումյան 5-րդ փողոց","41"
"AM","Yerevan","Շահումյան 5-րդ փողոց","42"
"AM","Yerevan","Շահումյան 5-րդ փողոց","43"
"AM","Yerevan","Շահումյան 5-րդ փողոց","44"
"AM","Yerevan","Շահումյան 5-րդ փողոց","45"
"AM","Yerevan","Շահումյան 5-րդ փողոց","46"
"AM","Yerevan","Շահումյան 5-րդ փողոց","47"
"AM","Yerevan","Շահումյան 5-րդ փողոց","48"
"AM","Yerevan","Շահումյան 5-րդ փողոց","49"
"AM","Yerevan","Շահումյան 5-րդ փողոց","5"
"AM","Yerevan","Շահումյան 5-րդ փողոց","50"
"AM","Yerevan","Շահումյան 5-րդ փողոց","51"
"AM","Yerevan","Շահումյան 5-րդ փողոց","52"
"AM","Yerevan","Շահումյան 5-րդ փողոց","53"
"AM","Yerevan","Շահումյան 5-րդ փողոց","54"
"AM","Yerevan","Շահումյան 5-րդ փողոց","55"
"AM","Yerevan","Շահումյան 5-րդ փողոց","56"
"AM","Yerevan","Շահումյան 5-րդ փողոց","57"
"AM","Yerevan","Շահումյան 5-րդ փողոց","58"
"AM","Yerevan","Շահումյան 5-րդ փողոց","6"
"AM","Yerevan","Շահումյան 5-րդ փողոց","60"
"AM","Yerevan","Շահումյան 5-րդ փողոց","7"
"AM","Yerevan","Շահումյան 5-րդ փողոց","8"
"AM","Yerevan","Շահումյան 5-րդ փողոց","9"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","1"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","10"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","11"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","12"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","13"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","14"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","2"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","3"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","4"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","5"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","6"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","7"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","8"
"AM","Yerevan","Շահումյան 6-րդ փողոց 1-ին փակուղի","9"
"AM","Yerevan","Շահումյան 6-րդ փողոց","1"
"AM","Yerevan","Շահումյան 6-րդ փողոց","10"
"AM","Yerevan","Շահումյան 6-րդ փողոց","11"
"AM","Yerevan","Շահումյան 6-րդ փողոց","12"
"AM","Yerevan","Շահումյան 6-րդ փողոց","13"
"AM","Yerevan","Շահումյան 6-րդ փողոց","14"
"AM","Yerevan","Շահումյան 6-րդ փողոց","15"
"AM","Yerevan","Շահումյան 6-րդ փողոց","16"
"AM","Yerevan","Շահումյան 6-րդ փողոց","17"
"AM","Yerevan","Շահումյան 6-րդ փողոց","18"
"AM","Yerevan","Շահումյան 6-րդ փողոց","19"
"AM","Yerevan","Շահումյան 6-րդ փողոց","2"
"AM","Yerevan","Շահումյան 6-րդ փողոց","20"
"AM","Yerevan","Շահումյան 6-րդ փողոց","21"
"AM","Yerevan","Շահումյան 6-րդ փողոց","22"
"AM","Yerevan","Շահումյան 6-րդ փողոց","23"
"AM","Yerevan","Շահումյան 6-րդ փողոց","24"
"AM","Yerevan","Շահումյան 6-րդ փողոց","25"
"AM","Yerevan","Շահումյան 6-րդ փողոց","26"
"AM","Yerevan","Շահումյան 6-րդ փողոց","26a"
"AM","Yerevan","Շահումյան 6-րդ փողոց","27"
"AM","Yerevan","Շահումյան 6-րդ փողոց","28"
"AM","Yerevan","Շահումյան 6-րդ փողոց","29"
"AM","Yerevan","Շահումյան 6-րդ փողոց","2a"
"AM","Yerevan","Շահումյան 6-րդ փողոց","3"
"AM","Yerevan","Շահումյան 6-րդ փողոց","30"
"AM","Yerevan","Շահումյան 6-րդ փողոց","31"
"AM","Yerevan","Շահումյան 6-րդ փողոց","32"
"AM","Yerevan","Շահումյան 6-րդ փողոց","33"
"AM","Yerevan","Շահումյան 6-րդ փողոց","34"
"AM","Yerevan","Շահումյան 6-րդ փողոց","35"
"AM","Yerevan","Շահումյան 6-րդ փողոց","36"
"AM","Yerevan","Շահումյան 6-րդ փողոց","37"
"AM","Yerevan","Շահումյան 6-րդ փողոց","38"
"AM","Yerevan","Շահումյան 6-րդ փողոց","39"
"AM","Yerevan","Շահումյան 6-րդ փողոց","4"
"AM","Yerevan","Շահումյան 6-րդ փողոց","40"
"AM","Yerevan","Շահումյան 6-րդ փողոց","41"
"AM","Yerevan","Շահումյան 6-րդ փողոց","42"
"AM","Yerevan","Շահումյան 6-րդ փողոց","43"
"AM","Yerevan","Շահումյան 6-րդ փողոց","44"
"AM","Yerevan","Շահումյան 6-րդ փողոց","45"
"AM","Yerevan","Շահումյան 6-րդ փողոց","46"
"AM","Yerevan","Շահումյան 6-րդ փողոց","47"
"AM","Yerevan","Շահումյան 6-րդ փողոց","48"
"AM","Yerevan","Շահումյան 6-րդ փողոց","49"
"AM","Yerevan","Շահումյան 6-րդ փողոց","5"
"AM","Yerevan","Շահումյան 6-րդ փողոց","50"
"AM","Yerevan","Շահումյան 6-րդ փողոց","51"
"AM","Yerevan","Շահումյան 6-րդ փողոց","52"
"AM","Yerevan","Շահումյան 6-րդ փողոց","53"
"AM","Yerevan","Շահումյան 6-րդ փողոց","54"
"AM","Yerevan","Շահումյան 6-րդ փողոց","55"
"AM","Yerevan","Շահումյան 6-րդ փողոց","56"
"AM","Yerevan","Շահումյան 6-րդ փողոց","57"
"AM","Yerevan","Շահումյան 6-րդ փողոց","58"
"AM","Yerevan","Շահումյան 6-րդ փողոց","59"
"AM","Yerevan","Շահումյան 6-րդ փողոց","6"
"AM","Yerevan","Շահումյան 6-րդ փողոց","61"
"AM","Yerevan","Շահումյան 6-րդ փողոց","7"
"AM","Yerevan","Շահումյան 6-րդ փողոց","8"
"AM","Yerevan","Շահումյան 6-րդ փողոց","9"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","1"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","10"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","11"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","12"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","13"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","14"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","15"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","15/1"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","15/2"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","16"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","17"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","17/1"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","18"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","19"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","19a"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","2"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","20"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","21"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","22"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","23"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","24"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","25"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","26"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","27"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","28"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","29"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","3"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","32a"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","34"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","36"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","38"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","3a"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","4"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","5"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","6"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","7"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","8"
"AM","Yerevan","Շահումյան 7-րդ 1-ին նրբանցք","9"
"AM","Yerevan","Շահումյան 7-րդ փողոց","1"
"AM","Yerevan","Շահումյան 7-րդ փողոց","10"
"AM","Yerevan","Շահումյան 7-րդ փողոց","11"
"AM","Yerevan","Շահումյան 7-րդ փողոց","12"
"AM","Yerevan","Շահումյան 7-րդ փողոց","13"
"AM","Yerevan","Շահումյան 7-րդ փողոց","14"
"AM","Yerevan","Շահումյան 7-րդ փողոց","15"
"AM","Yerevan","Շահումյան 7-րդ փողոց","16"
"AM","Yerevan","Շահումյան 7-րդ փողոց","17"
"AM","Yerevan","Շահումյան 7-րդ փողոց","18"
"AM","Yerevan","Շահումյան 7-րդ փողոց","18/1"
"AM","Yerevan","Շահումյան 7-րդ փողոց","19"
"AM","Yerevan","Շահումյան 7-րդ փողոց","2"
"AM","Yerevan","Շահումյան 7-րդ փողոց","20"
"AM","Yerevan","Շահումյան 7-րդ փողոց","21"
"AM","Yerevan","Շահումյան 7-րդ փողոց","21a"
"AM","Yerevan","Շահումյան 7-րդ փողոց","22"
"AM","Yerevan","Շահումյան 7-րդ փողոց","23"
"AM","Yerevan","Շահումյան 7-րդ փողոց","24"
"AM","Yerevan","Շահումյան 7-րդ փողոց","25"
"AM","Yerevan","Շահումյան 7-րդ փողոց","26"
"AM","Yerevan","Շահումյան 7-րդ փողոց","27"
"AM","Yerevan","Շահումյան 7-րդ փողոց","27a"
"AM","Yerevan","Շահումյան 7-րդ փողոց","2a"
"AM","Yerevan","Շահումյան 7-րդ փողոց","3"
"AM","Yerevan","Շահումյան 7-րդ փողոց","32/3"
"AM","Yerevan","Շահումյան 7-րդ փողոց","4"
"AM","Yerevan","Շահումյան 7-րդ փողոց","5"
"AM","Yerevan","Շահումյան 7-րդ փողոց","6"
"AM","Yerevan","Շահումյան 7-րդ փողոց","7"
"AM","Yerevan","Շահումյան 7-րդ փողոց","8"
"AM","Yerevan","Շահումյան 7-րդ փողոց","9"
"AM","Yerevan","Շրջանային փողոց","1"
"AM","Yerevan","Շրջանային փողոց","10"
"AM","Yerevan","Շրջանային փողոց","100"
"AM","Yerevan","Շրջանային փողոց","102"
"AM","Yerevan","Շրջանային փողոց","102/1"
"AM","Yerevan","Շրջանային փողոց","11"
"AM","Yerevan","Շրջանային փողոց","12"
"AM","Yerevan","Շրջանային փողոց","13"
"AM","Yerevan","Շրջանային փողոց","15"
"AM","Yerevan","Շրջանային փողոց","16"
"AM","Yerevan","Շրջանային փողոց","17"
"AM","Yerevan","Շրջանային փողոց","18"
"AM","Yerevan","Շրջանային փողոց","19"
"AM","Yerevan","Շրջանային փողոց","1a"
"AM","Yerevan","Շրջանային փողոց","2"
"AM","Yerevan","Շրջանային փողոց","20"
"AM","Yerevan","Շրջանային փողոց","21"
"AM","Yerevan","Շրջանային փողոց","22"
"AM","Yerevan","Շրջանային փողոց","23"
"AM","Yerevan","Շրջանային փողոց","24"
"AM","Yerevan","Շրջանային փողոց","25"
"AM","Yerevan","Շրջանային փողոց","26"
"AM","Yerevan","Շրջանային փողոց","27"
"AM","Yerevan","Շրջանային փողոց","28"
"AM","Yerevan","Շրջանային փողոց","29"
"AM","Yerevan","Շրջանային փողոց","2a"
"AM","Yerevan","Շրջանային փողոց","3"
"AM","Yerevan","Շրջանային փողոց","30"
"AM","Yerevan","Շրջանային փողոց","31"
"AM","Yerevan","Շրջանային փողոց","32"
"AM","Yerevan","Շրջանային փողոց","33"
"AM","Yerevan","Շրջանային փողոց","34"
"AM","Yerevan","Շրջանային փողոց","35"
"AM","Yerevan","Շրջանային փողոց","36"
"AM","Yerevan","Շրջանային փողոց","37"
"AM","Yerevan","Շրջանային փողոց","38"
"AM","Yerevan","Շրջանային փողոց","39"
"AM","Yerevan","Շրջանային փողոց","4"
"AM","Yerevan","Շրջանային փողոց","40"
"AM","Yerevan","Շրջանային փողոց","40a"
"AM","Yerevan","Շրջանային փողոց","41"
"AM","Yerevan","Շրջանային փողոց","42"
"AM","Yerevan","Շրջանային փողոց","42/1"
"AM","Yerevan","Շրջանային փողոց","43"
"AM","Yerevan","Շրջանային փողոց","44"
"AM","Yerevan","Շրջանային փողոց","45"
"AM","Yerevan","Շրջանային փողոց","46"
"AM","Yerevan","Շրջանային փողոց","47"
"AM","Yerevan","Շրջանային փողոց","48"
"AM","Yerevan","Շրջանային փողոց","49"
"AM","Yerevan","Շրջանային փողոց","5"
"AM","Yerevan","Շրջանային փողոց","50"
"AM","Yerevan","Շրջանային փողոց","51"
"AM","Yerevan","Շրջանային փողոց","52"
"AM","Yerevan","Շրջանային փողոց","53"
"AM","Yerevan","Շրջանային փողոց","54"
"AM","Yerevan","Շրջանային փողոց","55"
"AM","Yerevan","Շրջանային փողոց","56"
"AM","Yerevan","Շրջանային փողոց","57"
"AM","Yerevan","Շրջանային փողոց","58"
"AM","Yerevan","Շրջանային փողոց","59"
"AM","Yerevan","Շրջանային փողոց","6"
"AM","Yerevan","Շրջանային փողոց","60"
"AM","Yerevan","Շրջանային փողոց","61"
"AM","Yerevan","Շրջանային փողոց","62"
"AM","Yerevan","Շրջանային փողոց","63"
"AM","Yerevan","Շրջանային փողոց","64"
"AM","Yerevan","Շրջանային փողոց","65"
"AM","Yerevan","Շրջանային փողոց","66"
"AM","Yerevan","Շրջանային փողոց","67"
"AM","Yerevan","Շրջանային փողոց","68"
"AM","Yerevan","Շրջանային փողոց","69"
"AM","Yerevan","Շրջանային փողոց","7"
"AM","Yerevan","Շրջանային փողոց","70"
"AM","Yerevan","Շրջանային փողոց","71"
"AM","Yerevan","Շրջանային փողոց","72"
"AM","Yerevan","Շրջանային փողոց","73"
"AM","Yerevan","Շրջանային փողոց","74"
"AM","Yerevan","Շրջանային փողոց","75"
"AM","Yerevan","Շրջանային փողոց","76"
"AM","Yerevan","Շրջանային փողոց","77"
"AM","Yerevan","Շրջանային փողոց","78"
"AM","Yerevan","Շրջանային փողոց","79"
"AM","Yerevan","Շրջանային փողոց","8"
"AM","Yerevan","Շրջանային փողոց","80"
"AM","Yerevan","Շրջանային փողոց","81"
"AM","Yerevan","Շրջանային փողոց","82"
"AM","Yerevan","Շրջանային փողոց","83"
"AM","Yerevan","Շրջանային փողոց","83a"
"AM","Yerevan","Շրջանային փողոց","84"
"AM","Yerevan","Շրջանային փողոց","85"
"AM","Yerevan","Շրջանային փողոց","86"
"AM","Yerevan","Շրջանային փողոց","87"
"AM","Yerevan","Շրջանային փողոց","87a"
"AM","Yerevan","Շրջանային փողոց","88"
"AM","Yerevan","Շրջանային փողոց","89"
"AM","Yerevan","Շրջանային փողոց","9"
"AM","Yerevan","Շրջանային փողոց","90"
"AM","Yerevan","Շրջանային փողոց","91"
"AM","Yerevan","Շրջանային փողոց","92"
"AM","Yerevan","Շրջանային փողոց","93"
"AM","Yerevan","Շրջանային փողոց","94"
"AM","Yerevan","Շրջանային փողոց","96"
"AM","Yerevan","Շրջանային փողոց","98"
"AM","Yerevan","Չարենցի փողոց","3"
"AM","Yerevan","Պարոնյան փողոց","19/3"
"AM","Yerevan","Պարոնյան փողոց","21"
"AM","Yerevan","Պարոնյան փողոց","21/1"
"AM","Yerevan","Պարոնյանի փողոց","26"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","10"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","12"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","14"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","16"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","18"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","2"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","4"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","6"
"AM","Yerevan","Ջիվանի փողոց 2-րդ փակուղի","8"
"AM","Yerevan","Ջիվանի փողոց","1"
"AM","Yerevan","Ջիվանի փողոց","10"
"AM","Yerevan","Ջիվանի փողոց","11"
"AM","Yerevan","Ջիվանի փողոց","12"
"AM","Yerevan","Ջիվանի փողոց","13"
"AM","Yerevan","Ջիվանի փողոց","14"
"AM","Yerevan","Ջիվանի փողոց","15"
"AM","Yerevan","Ջիվանի փողոց","16"
"AM","Yerevan","Ջիվանի փողոց","17"
"AM","Yerevan","Ջիվանի փողոց","18"
"AM","Yerevan","Ջիվանի փողոց","20"
"AM","Yerevan","Ջիվանի փողոց","21"
"AM","Yerevan","Ջիվանի փողոց","22"
"AM","Yerevan","Ջիվանի փողոց","23"
"AM","Yerevan","Ջիվանի փողոց","24"
"AM","Yerevan","Ջիվանի փողոց","25"
"AM","Yerevan","Ջիվանի փողոց","26"
"AM","Yerevan","Ջիվանի փողոց","27"
"AM","Yerevan","Ջիվանի փողոց","28"
"AM","Yerevan","Ջիվանի փողոց","29"
"AM","Yerevan","Ջիվանի փողոց","3"
"AM","Yerevan","Ջիվանի փողոց","30"
"AM","Yerevan","Ջիվանի փողոց","31"
"AM","Yerevan","Ջիվանի փողոց","32"
"AM","Yerevan","Ջիվանի փողոց","33"
"AM","Yerevan","Ջիվանի փողոց","34"
"AM","Yerevan","Ջիվանի փողոց","35"
"AM","Yerevan","Ջիվանի փողոց","36"
"AM","Yerevan","Ջիվանի փողոց","37"
"AM","Yerevan","Ջիվանի փողոց","38"
"AM","Yerevan","Ջիվանի փողոց","39"
"AM","Yerevan","Ջիվանի փողոց","3a"
"AM","Yerevan","Ջիվանի փողոց","40"
"AM","Yerevan","Ջիվանի փողոց","41"
"AM","Yerevan","Ջիվանի փողոց","42"
"AM","Yerevan","Ջիվանի փողոց","43"
"AM","Yerevan","Ջիվանի փողոց","44"
"AM","Yerevan","Ջիվանի փողոց","44/1"
"AM","Yerevan","Ջիվանի փողոց","45"
"AM","Yerevan","Ջիվանի փողոց","46"
"AM","Yerevan","Ջիվանի փողոց","47"
"AM","Yerevan","Ջիվանի փողոց","48"
"AM","Yerevan","Ջիվանի փողոց","48a"
"AM","Yerevan","Ջիվանի փողոց","49"
"AM","Yerevan","Ջիվանի փողոց","5"
"AM","Yerevan","Ջիվանի փողոց","50"
"AM","Yerevan","Ջիվանի փողոց","51"
"AM","Yerevan","Ջիվանի փողոց","52"
"AM","Yerevan","Ջիվանի փողոց","53"
"AM","Yerevan","Ջիվանի փողոց","54"
"AM","Yerevan","Ջիվանի փողոց","55"
"AM","Yerevan","Ջիվանի փողոց","57"
"AM","Yerevan","Ջիվանի փողոց","59"
"AM","Yerevan","Ջիվանի փողոց","6"
"AM","Yerevan","Ջիվանի փողոց","61"
"AM","Yerevan","Ջիվանի փողոց","63"
"AM","Yerevan","Ջիվանի փողոց","65"
"AM","Yerevan","Ջիվանի փողոց","67"
"AM","Yerevan","Ջիվանի փողոց","69"
"AM","Yerevan","Ջիվանի փողոց","7"
"AM","Yerevan","Ջիվանի փողոց","71"
"AM","Yerevan","Ջիվանի փողոց","73"
"AM","Yerevan","Ջիվանի փողոց","75"
"AM","Yerevan","Ջիվանի փողոց","77"
"AM","Yerevan","Ջիվանի փողոց","79"
"AM","Yerevan","Ջիվանի փողոց","79/1"
"AM","Yerevan","Ջիվանի փողոց","8"
"AM","Yerevan","Ջիվանի փողոց","9"
"AM","Yerevan","Ռոմանոս Մելիքյանի փողոց","2/1"
"AM","Yerevan","Ռոմանոս Մելիքյանի փողոց","2/3"
"AM","Yerevan","Սայաթ Նովայի պողոտա","2"
"AM","Yerevan","Սեբաստիայի փողոց","102"
"AM","Yerevan","Սեբաստիայի փողոց","18"
"AM","Yerevan","Սեբաստիայի փողոց","18a"
"AM","Yerevan","Սեբաստիայի փողոց","22"
"AM","Yerevan","Սեբաստիայի փողոց","5"
"AM","Yerevan","Սեբաստիայի փողոց","9"
"AM","Yerevan","Վահրամ Փափազյան փողոց","13"
"AM","Yerevan","Վարդանանց փողոց","13"
"AM","Yerevan","Վարդանանց փողոց","15"
"AM","Yerevan","Վարդանանց փողոցի անցուղի","2"
"AM","Yerevan","Վարդանանց փողոցի անցուղի","4"
"AM","Yerevan","Վարդանանց փողոցի անցուղի","6"
"AM","Yerevan","Վարդանանց փողոցի անցուղի","8"
"AM","Yerevan","Տիգրան Մեծի պողոտա 3րդ նրբ","10"
"AM","Yerevan","Տիգրան Մեծի պողոտա 3րդ նրբ","8"
"AM","Yerevan","Տիգրան Մեծի պողոտա","21"
"AM","Yerevan","Տիգրան Մեծի պողոտա","23"
"AM","Yerevan","Տիգրան Մեծի պողոտա","25"
